epoch,train_loss,val_loss,test_loss,test_accuracy,v2_acc,v4_acc,v10_acc,top5_acc,v50_acc,v100_acc,v50_top5_acc,v100_top5_acc
170,3.9596714952940584,4.164446624425741,0.0,0.08,0.86,0.66,0.475,0.255,0.21,0.13,0.565,0.455
171,3.9603501883886194,4.163588510109828,0.0,0.075,0.84,0.735,0.505,0.255,0.22,0.125,0.615,0.435
172,3.9589357817044823,4.16403127175111,0.0,0.075,0.875,0.715,0.53,0.27,0.22,0.135,0.595,0.455
173,3.95424784434739,4.162629847343151,0.0,0.085,0.85,0.645,0.435,0.25,0.21,0.15,0.59,0.44
174,3.954655808787192,4.163281106031858,0.0,0.08,0.885,0.695,0.52,0.265,0.245,0.125,0.565,0.425
175,3.9521976752947734,4.161340901484857,0.0,0.085,0.945,0.73,0.495,0.275,0.19,0.145,0.58,0.43
176,3.9453170612294186,4.161395297600673,0.0,0.08,0.88,0.745,0.495,0.28,0.225,0.145,0.595,0.43
177,3.9472225317391016,4.157684252812312,0.0,0.09,0.875,0.73,0.53,0.25,0.16,0.13,0.59,0.47
178,3.9468318646953953,4.158315846553216,0.0,0.085,0.92,0.73,0.495,0.27,0.195,0.16,0.615,0.475
179,3.942241334402433,4.157673679865324,0.0,0.09,0.88,0.69,0.495,0.26,0.24,0.14,0.575,0.48
180,3.9405633772573165,4.158892773664915,0.0,0.085,0.92,0.705,0.53,0.275,0.24,0.125,0.59,0.445
181,3.939186494581161,4.161294992153461,0.0,0.07,0.885,0.735,0.54,0.27,0.23,0.12,0.59,0.455
182,3.9400372402642363,4.16083070406547,0.0,0.07,0.9,0.665,0.535,0.25,0.2,0.115,0.575,0.44
183,3.934518217784102,4.158548497236692,0.0,0.075,0.875,0.7,0.51,0.275,0.24,0.13,0.575,0.425
184,3.9419215499713856,4.1568722403966465,0.0,0.075,0.86,0.765,0.52,0.275,0.21,0.135,0.56,0.43
185,3.934969280612084,4.156704650475429,0.0,0.075,0.9,0.7,0.56,0.29,0.2,0.135,0.575,0.45
186,3.9322019443717053,4.158681741127601,0.0,0.08,0.875,0.725,0.5,0.25,0.24,0.13,0.615,0.42
187,3.929920744639571,4.155590735949003,0.0,0.075,0.885,0.7,0.485,0.27,0.225,0.135,0.61,0.435
188,3.927114329286801,4.1566548851820135,0.0,0.08,0.845,0.76,0.47,0.285,0.235,0.15,0.595,0.45
189,3.9258009997747276,4.156921212489788,0.0,0.06,0.88,0.71,0.535,0.3,0.245,0.12,0.585,0.44
190,3.92474432299214,4.1553819592182455,0.0,0.075,0.89,0.725,0.505,0.28,0.265,0.145,0.585,0.44
191,3.926111464859337,4.154273587923783,0.0,0.07,0.87,0.725,0.52,0.32,0.225,0.145,0.615,0.46
192,3.920117256205569,4.158522770955012,0.0,0.095,0.89,0.725,0.575,0.305,0.265,0.155,0.58,0.445
193,3.914084860586351,4.156739523777595,0.0,0.085,0.88,0.735,0.515,0.285,0.23,0.15,0.57,0.46
194,3.9153984156988,4.1538928013581495,0.0,0.095,0.865,0.72,0.49,0.275,0.25,0.165,0.585,0.46
195,3.9157380837266165,4.153840587689326,0.0,0.105,0.905,0.74,0.545,0.27,0.21,0.155,0.58,0.415
196,3.913188205739503,4.155829979823186,0.0,0.1,0.875,0.73,0.555,0.28,0.24,0.155,0.605,0.47
197,3.9091229766927738,4.154213176323817,0.0,0.085,0.92,0.68,0.52,0.28,0.255,0.155,0.605,0.455
198,3.907259411452919,4.153814476269942,0.0,0.075,0.9,0.73,0.5,0.27,0.235,0.14,0.59,0.445
199,3.910510105727821,4.1540710742657,0.0,0.075,0.855,0.74,0.48,0.275,0.24,0.125,0.61,0.435
200,3.906966252993512,4.155647108188043,0.0,0.065,0.845,0.73,0.5,0.25,0.225,0.125,0.605,0.445
201,3.905765337585121,4.157092896791605,0.0,0.07,0.885,0.725,0.515,0.27,0.245,0.1,0.595,0.43
202,3.9028708965547625,4.159416826871725,0.0,0.08,0.88,0.75,0.515,0.275,0.235,0.11,0.57,0.43
203,3.902064404436337,4.152181079754462,0.0,0.08,0.91,0.765,0.53,0.3,0.215,0.145,0.62,0.47
204,3.9028348051091677,4.150570149605091,0.0,0.08,0.83,0.71,0.495,0.275,0.22,0.13,0.605,0.45
205,3.897210825643232,4.151963985883272,0.0,0.085,0.905,0.765,0.55,0.295,0.235,0.145,0.58,0.44
206,3.8996558609829153,4.150493300878084,0.0,0.085,0.855,0.715,0.51,0.3,0.23,0.17,0.62,0.44
207,3.8918955736262824,4.150866292990171,0.0,0.085,0.925,0.685,0.555,0.29,0.225,0.165,0.595,0.44
208,3.8902741765463222,4.152522389705364,0.0,0.095,0.89,0.745,0.535,0.32,0.255,0.16,0.61,0.45
209,3.8910158075312133,4.151603455726917,0.0,0.085,0.875,0.73,0.53,0.315,0.225,0.145,0.615,0.455
210,3.882982737018216,4.154579873268421,0.0,0.09,0.89,0.75,0.545,0.3,0.255,0.12,0.625,0.465
211,3.8903856056992727,4.15311218225039,0.0,0.075,0.88,0.685,0.5,0.3,0.255,0.15,0.6,0.47
212,3.887179465960431,4.154302899654095,0.0,0.095,0.89,0.72,0.53,0.315,0.24,0.125,0.61,0.475
213,3.886252118695167,4.154041996368995,0.0,0.075,0.88,0.785,0.525,0.305,0.25,0.145,0.62,0.44
214,3.8838449765277163,4.152707173274114,0.0,0.07,0.86,0.75,0.495,0.285,0.25,0.13,0.585,0.43
215,3.885266863915228,4.151760293887212,0.0,0.075,0.91,0.745,0.56,0.31,0.23,0.125,0.615,0.44
216,3.879105508968394,4.151821058530074,0.0,0.065,0.87,0.715,0.515,0.305,0.23,0.145,0.575,0.455
